"filename", "language", "C++", "Makefile", "comment", "blank", "total"
"/home/plato/mipt_projs/course2/geometry_simulator/build/makefile", "Makefile", 0, 4, 0, 2, 6
"/home/plato/mipt_projs/course2/geometry_simulator/src/Button.cpp", "C++", 31, 0, 4, 14, 49
"/home/plato/mipt_projs/course2/geometry_simulator/src/CoordinateSys.cpp", "C++", 3, 0, 0, 5, 8
"/home/plato/mipt_projs/course2/geometry_simulator/src/Point.cpp", "C++", -5, 0, -1, -2, -8
"/home/plato/mipt_projs/course2/geometry_simulator/src/Vector.cpp", "C++", 52, 0, 26, 35, 113
"/home/plato/mipt_projs/course2/geometry_simulator/src/Vector3D.cpp", "C++", 44, 0, 9, 17, 70
"/home/plato/mipt_projs/course2/geometry_simulator/src/Vector3D.h", "C++", 22, 0, 0, 12, 34
"/home/plato/mipt_projs/course2/geometry_simulator/src/drawable_objects.h", "C++", 66, 0, 3, 29, 98
"/home/plato/mipt_projs/course2/geometry_simulator/src/drawer.h", "C++", -60, 0, -6, -29, -95
"/home/plato/mipt_projs/course2/geometry_simulator/src/graphics_drawer.cpp", "C++", -3, 0, -43, -2, -48
"/home/plato/mipt_projs/course2/geometry_simulator/src/gui.cpp", "C++", 11, 0, 1, 6, 18
"/home/plato/mipt_projs/course2/geometry_simulator/src/gui.h", "C++", 20, 0, 0, 10, 30
"/home/plato/mipt_projs/course2/geometry_simulator/src/main.cpp", "C++", -22, 0, -10, -10, -42
"/home/plato/mipt_projs/course2/geometry_simulator/src/tests.cpp", "C++", 145, 0, 75, 79, 299
"/home/plato/mipt_projs/course2/geometry_simulator/src/tests.h", "C++", 5, 0, 0, 2, 7
"Total", "-", 309, 4, 58, 168, 539
