"filename", "language", "C++", "comment", "blank", "total"
"/home/plato/mipt_projs/course2/geometry_simulator/src/Color.cpp", "C++", 61, 8, 28, 97
"/home/plato/mipt_projs/course2/geometry_simulator/src/Color.h", "C++", 31, 1, 11, 43
"/home/plato/mipt_projs/course2/geometry_simulator/src/GeometryObjects.h", "C++", 32, 1, 15, 48
"/home/plato/mipt_projs/course2/geometry_simulator/src/Raytracer.cpp", "C++", 157, 19, 71, 247
"/home/plato/mipt_projs/course2/geometry_simulator/src/Raytracer.h", "C++", 3, 0, 1, 4
"/home/plato/mipt_projs/course2/geometry_simulator/src/SceneObjects.h", "C++", 109, 6, 30, 145
"/home/plato/mipt_projs/course2/geometry_simulator/src/geom_primitives/CoordinateSys.cpp", "C++", 50, 7, 23, 80
"/home/plato/mipt_projs/course2/geometry_simulator/src/gui/AbstractButton.h", "C++", -25, -1, -7, -33
"/home/plato/mipt_projs/course2/geometry_simulator/src/gui/Application.h", "C++", -31, -1, -11, -43
"/home/plato/mipt_projs/course2/geometry_simulator/src/gui/BaseEvents.h", "C++", 57, 0, 8, 65
"/home/plato/mipt_projs/course2/geometry_simulator/src/gui/Buttons.h", "C++", 22, 0, 10, 32
"/home/plato/mipt_projs/course2/geometry_simulator/src/gui/CircleButton.h", "C++", 0, 0, -1, -1
"/home/plato/mipt_projs/course2/geometry_simulator/src/gui/Color.cpp", "C++", -61, -8, -28, -97
"/home/plato/mipt_projs/course2/geometry_simulator/src/gui/Color.h", "C++", -31, -1, -11, -43
"/home/plato/mipt_projs/course2/geometry_simulator/src/gui/ContainerWidget.cpp", "C++", 18, 2, 6, 26
"/home/plato/mipt_projs/course2/geometry_simulator/src/gui/ContainerWidget.h", "C++", -15, -3, -7, -25
"/home/plato/mipt_projs/course2/geometry_simulator/src/gui/CoordinateSus.h", "C++", -35, -1, -16, -52
"/home/plato/mipt_projs/course2/geometry_simulator/src/gui/CoordinateSys.cpp", "C++", -50, -7, -23, -80
"/home/plato/mipt_projs/course2/geometry_simulator/src/gui/DropMenu.cpp", "C++", 32, 5, 14, 51
"/home/plato/mipt_projs/course2/geometry_simulator/src/gui/DropMenu.h", "C++", 21, 0, 9, 30
"/home/plato/mipt_projs/course2/geometry_simulator/src/gui/Event.cpp", "C++", 11, 0, 4, 15
"/home/plato/mipt_projs/course2/geometry_simulator/src/gui/Event.h", "C++", -28, 3, 1, -24
"/home/plato/mipt_projs/course2/geometry_simulator/src/gui/GraphicSpaceKernelAbstract.h", "C++", 1, 0, 1, 2
"/home/plato/mipt_projs/course2/geometry_simulator/src/gui/Image.h", "C++", 1, 0, 0, 1
"/home/plato/mipt_projs/course2/geometry_simulator/src/gui/RectButton.h", "C++", -30, -1, -8, -39
"/home/plato/mipt_projs/course2/geometry_simulator/src/gui/Text.cpp", "C++", -7, -1, -4, -12
"/home/plato/mipt_projs/course2/geometry_simulator/src/gui/Text.h", "C++", 9, -1, 3, 11
"/home/plato/mipt_projs/course2/geometry_simulator/src/gui/Texture.cpp", "C++", 2, 0, -1, 1
"/home/plato/mipt_projs/course2/geometry_simulator/src/gui/Texture.h", "C++", 1, 0, 0, 1
"/home/plato/mipt_projs/course2/geometry_simulator/src/gui/Widget.cpp", "C++", 15, 0, 10, 25
"/home/plato/mipt_projs/course2/geometry_simulator/src/gui/Widget.h", "C++", 8, -3, 5, 10
"/home/plato/mipt_projs/course2/geometry_simulator/src/gui/Window.cpp", "C++", 0, 0, 1, 1
"/home/plato/mipt_projs/course2/geometry_simulator/src/gui/Window.h", "C++", 79, 1, 20, 100
"/home/plato/mipt_projs/course2/geometry_simulator/src/gui/glib_wrapper.h", "C++", -6, -4, -3, -13
"/home/plato/mipt_projs/course2/geometry_simulator/src/logger.h", "C++", 1, 0, 0, 1
"/home/plato/mipt_projs/course2/geometry_simulator/src/main.cpp", "C++", 17, 2, 5, 24
"/home/plato/mipt_projs/course2/geometry_simulator/src/raytracing/RaytracingTest.cpp", "C++", -217, -21, -84, -322
"/home/plato/mipt_projs/course2/geometry_simulator/src/raytracing/SceneObjects.h", "C++", -109, -6, -30, -145
"Total", "-", 93, -4, 42, 131
