"filename", "language", "C++", "comment", "blank", "total"
"/home/plato/mipt_projs/course2/geometry_simulator/src/GraphicEditor.cpp", "C++", 73, 10, 35, 118
"/home/plato/mipt_projs/course2/geometry_simulator/src/Raytracer.h", "C++", 107, 8, 41, 156
"/home/plato/mipt_projs/course2/geometry_simulator/src/geom_primitives/Plane.cpp", "C++", 40, 8, 22, 70
"/home/plato/mipt_projs/course2/geometry_simulator/src/geom_primitives/Sphere.cpp", "C++", 59, 5, 24, 88
"/home/plato/mipt_projs/course2/geometry_simulator/src/geom_primitives/Vector.cpp", "C++", 84, 15, 44, 143
"/home/plato/mipt_projs/course2/geometry_simulator/src/geom_primitives/Vector3D.cpp", "C++", 84, 17, 41, 142
"/home/plato/mipt_projs/course2/geometry_simulator/src/geometry_objects.h", "C++", 99, 3, 44, 146
"/home/plato/mipt_projs/course2/geometry_simulator/src/graphic_lib_wrapper.h", "C++", 158, 17, 52, 227
"/home/plato/mipt_projs/course2/geometry_simulator/src/graphical_primitives/Button.cpp", "C++", 32, 5, 13, 50
"/home/plato/mipt_projs/course2/geometry_simulator/src/graphical_primitives/Color.cpp", "C++", 65, 8, 32, 105
"/home/plato/mipt_projs/course2/geometry_simulator/src/graphical_primitives/CoordinateSys.cpp", "C++", 84, 9, 37, 130
"/home/plato/mipt_projs/course2/geometry_simulator/src/graphical_primitives/Text.cpp", "C++", 18, 3, 13, 34
"/home/plato/mipt_projs/course2/geometry_simulator/src/graphical_primitives/Vector.cpp", "C++", 62, 16, 39, 117
"/home/plato/mipt_projs/course2/geometry_simulator/src/main.cpp", "C++", 19, 2, 6, 27
"/home/plato/mipt_projs/course2/geometry_simulator/src/tests.h", "C++", 29, 2, 12, 43
"/home/plato/mipt_projs/course2/geometry_simulator/src/tests/ActionVectorsTest.cpp", "C++", 65, 10, 30, 105
"/home/plato/mipt_projs/course2/geometry_simulator/src/tests/RaytracingTest.cpp", "C++", 207, 66, 94, 367
"/home/plato/mipt_projs/course2/geometry_simulator/src/tests/SphereTest.cpp", "C++", 90, 13, 41, 144
"Total", "-", 1375, 217, 620, 2212
